title
柯市府愛用LINE交辦公事 員工休假晚回被罵：不合群！
國台辦指將加強主導兩岸走向 陸委會：兩岸關係非單方決斷
韓國瑜林園迎曙光！「日出之樹」爆紅 居民憂路窄塞車
國軍今年精彩演訓回顧 網讚帥爆：以為變形金剛加入我軍
女兒挨批濫用市府資源 陳思宇議員父轟何志偉「不道德」
韓國瑜找「寶可夢」拚觀光 最快2019高雄燈會登場
一天一觀點／東奧正名是外交休克？許毓仁：要走非典型路線
樂看長子娶妻大秀潮舞 賴清德昔日舞技被挖出
貼「黃色小鴨」 潘恆旭：高雄想辦「這個」亞洲城市PK賽
「圍上圍巾秒變暖男」 馬英九提醒明天記得去升旗並圍圍巾
活在幻想中！在中國工作8年 他：回台前根本不知非洲豬瘟
不斷親中！陸團3天拿到旅遊證 韓國瑜：建機場不是隨口講
陳其邁選後網路人氣旺 靠「牠」與韓國瑜「黃金交叉」
中國也有粉？廣州出現高嘉瑜春聯 本尊喊話：台灣有嗎
2020大選「相公」換人？他：華盛頓希望換這三人打麻將
解決低薪不能靠信心喊話 孫大千籲政府大幅調高基本薪資
2018奇怪又精彩 吳音寧：會把惡意攻擊寫進歷史
任內還負債還大賺「他」是下個韓國瑜？網：正牌菜販下神壇
重申「定海神針」？ 習近平1月2日將發表對台重要談話
韓國瑜稱走深圳路線 王浩宇：本來以為一日一幹話要中斷了
賴清德娶媳婦！小倆口婚禮上「大跳熱舞」進場 賓客嗨翻天
萌！熊讚合體拍跨年宣導片 學姊：我最討厭亂丟垃圾的人了
柯文哲戰2020總統大選？人渣文本：光靠腦粉無法成事
綠委：年輕人沒有放棄民進黨，恨鐵不成鋼不代表叫你變塑膠
高嘉瑜「20年前黑歷史」全曝光 崩潰淚喊：你故意的！
求職高薪看過來！尋網路戰人才「這裡」博士起薪85K
台灣人其實不關心經濟 蔡丁貴：只在乎自己的生活
賴清德娶媳婦！高學歷新娘「透視婚紗」曝光 胸前蕾絲鏤空
冤枉花媽了！名嘴批陳菊賤賣祖產 專家打臉：那是抵費地
韓粉說「韓國瑜是蔣中正轉世」他尷尬回：韓出生時蔣還沒死
士兵轉當「女飛官」！郭文靜創下首例 國軍形象影片曝光
命理師斷言情路多舛…「學姐」黃瀞瑩平常心面對：看看就好
總統府元旦升旗！主辦單位將發放國旗紋身貼紙
新住民元旦升旗領唱國歌 吳鳳：展現對台灣的愛
盼興建高屏國際機場 韓國瑜：不是隨口說說
欠債不還？路上遭阿伯「討債」 高嘉瑜求饒：1月才能給啦
捨棄大老文化…藍營內部籲太陽們拋掉「偶像包袱」
他嗆韓國瑜「韓總夢想家」：出來混遲早要還！
立委補選若不能維持戰果？吳敦義：白玉蒙瑕
逢「9」必大變？揭中國10大難關 2019是關鍵時刻！
誰讓學姐難過？「沒外表憑什麼紅…」黃瀞瑩自爆被質疑專業
一言不合中共讓你人間蒸發？外媒盤點18年被消失案件
改名「台灣」國民黨？辜寬敏透露：藍營並不反對
神似吳建豪！賴清德兒低調娶妻 爸狂誇：他是亞洲Kobe
韓流泡沫化？王世堅勸韓國瑜：遠離柯文哲 別淪為葡式蛋塔
談韓國瑜20年來的轉變 王世堅：唯一沒變是「這個」啦！
高雄路強拆不拆？苦苓緊急ＰＯ文喊話說這！
戰神黃國昌竟對老婆這麼說！被罵「是不是人啊？」
立院青島一館出3位縣市長 昔「陳抗搖滾區」立委搶進駐
中國2020併吞台灣？呂秋遠：沒那麼容易，台灣刁民太多
要做阿公了？ 賴清德喜悅藏不住！談「抱孫」這樣說...
【2019大預言總覽】川普與習近平 兩強亂世出英雄
國民黨太陽們轉型第一步 「他」建議：拋自戀偶像包袱
賴清德娶媳婦 「一生監督ㄧ人」的他笑的合不攏嘴吐這句！
賴清德媳婦「帶球嫁」？迎娶關鍵一舉動...讓人秒懂了！
賴清德長子娶妻！小倆口做研究認識 婚後將赴美攻讀學位
賴清德愛子娶美嬌娘 未來從不從政？他這麼說！
吳敦義只是么九帶太多！羅友志：相公應是馬英九
油價明調降！綠委許智傑：未來油價公式應納入物價指數
任高雄市副長葉匡時2月上任 他：韓國瑜「前半年是關鍵」
